TwitterIDsOfHumanUsers,#Friends,#BotFollowees
177909572,384,9
276983152,296,9
17852114,140,9
61694837,340,9
17992531,101,9
981556177,172,9
264046995,272,9
263842646,147,9
314922007,53,9
388589094,198,9
10492262,229,9
188213023,191,9
122034494,146,9
190591610,237,9
340951450,108,9
102982202,117,9
1031655967,324,9
505959713,300,9
284704195,259,9
50252197,243,9
501094162,106,9
211099583,180,9
1315840890,128,9
767682734,59,9
398090733,226,9
497521332,243,9
567155716,285,9
2166124159,248,9
3384265881,146,9
622618462,88,9
1605128107,193,9
2193114259,325,9
126921664,246,9
2558700766,192,9
222579656,281,9
22407164,102,9
88640630,113,9
1100359458,327,9
2254221422,37,9
2265352238,88,9
328145177,217,9
2309170459,220,9
998131124,243,9
997997443,263,9
904594663,311,9
275325886,279,9
2544880153,205,9
199597851,238,8
304261771,274,8
573690882,130,8
2291374914,261,8
612999090,134,8
763086512,388,8
233890781,101,8
553842839,278,8
95243555,239,8
229875064,207,8
291314239,100,8
960978096,150,8
547477084,59,8
831741072,301,8
965320657,64,8
372835779,253,8
1664238487,306,8
702032586,297,8
2554790467,105,8
2861200834,145,8
498418001,189,8
169779207,109,8
3100871091,331,8
268381386,238,8
62739096,100,8
3170243955,299,8
87334609,320,8
476552395,209,8
211462267,164,8
1372574677,286,8
211709952,117,8
2824442557,258,8
53621838,193,8
3101509017,75,8
755745950,137,8
1733822028,287,8
41785738,203,8
535758794,188,8
809654154,90,8
483073065,107,8
127109283,179,8
407024811,154,8
636764655,217,8
618038687,80,8
2972708023,75,8
349152819,99,8
28363979,87,8
605377564,165,8
24801407,91,8
2378140945,199,8
2160196098,261,8
58702972,327,8
21634018,203,8
130766020,93,8
1001305494,28,8
400412116,211,8
2990291701,297,8
2891962836,96,8
22563955,315,8
2484023400,399,8
2894251059,107,8
183760147,224,8
1307962584,315,8
131043638,31,8
3031860812,258,8
400939896,136,8
312384683,254,8
469128515,96,8
43136801,248,8
283013230,200,8
454318003,281,8
344780239,159,8
2178643974,211,8
561814955,137,8
3070794500,272,8
2630889296,211,8
24352106,81,8
1477585832,181,8
44660556,161,8
125584035,169,8
1882244610,331,8
437392860,214,8
1897930380,367,8
2905689080,284,8
21388359,219,8
3317190734,217,8
190225727,194,8
2514604339,133,8
2728674072,296,8
445761780,180,8
22136015,133,8
353608206,198,8
1342734066,158,8
